destination,key,heroSource,suspicion,httpStatus,width,height,cache,reasons,url
"Porto",porto,wikidata-commons,0,429,3872,2592,hit,"","https://upload.wikimedia.org/wikipedia/commons/5/55/O_Porto_%28visto_da_Ponte_Dom_Luis_I%29.jpg"
"Pisa",pisa,commons-category,0,429,6635,3175,hit,"","https://upload.wikimedia.org/wikipedia/commons/8/87/Palo_05-08.jpg"
"Osaka, Japan",osaka|japan,wikidata-commons,0,429,4167,2728,hit,"","https://upload.wikimedia.org/wikipedia/commons/e/e4/Osaka_Castle_02bs3200.jpg"
"New york, United states",new york|united states,wikidata-commons,0,429,4758,2825,hit,"","https://upload.wikimedia.org/wikipedia/commons/4/42/NYSCapitolPanorama.jpg"
"Miami, United states",miami|united states,commons-category,0,429,8141,5427,hit,"","https://upload.wikimedia.org/wikipedia/commons/d/dd/260305-D-FN350-4023_SecDef_Hegseth_Travels_to_SOUTHCOM%2C_CENTCOM_March_2026.jpg"
"Los angeles, United states",los angeles|united states,wikidata-commons,0,429,8267,3873,hit,"","https://upload.wikimedia.org/wikipedia/commons/6/69/Los_Angeles_with_Mount_Baldy.jpg"
"Lisbon",lisbon,wikidata-commons,0,429,1021,627,hit,"","https://upload.wikimedia.org/wikipedia/commons/4/43/Lisboa837.png"
"Kyoto, Japan",kyoto|japan,wikidata-commons,0,429,5898,3932,hit,"","https://upload.wikimedia.org/wikipedia/commons/8/86/Pedestrian_road_with_pavements%2C_paper_umbrellas_and_people_in_yukata%2C_Higashiyama-ku%2C_Kyoto%2C_Japan.jpg"
"Krakow",krakow,wikipedia,0,429,1920,944,hit,"bonus:paysage","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Krakow_Rynek_Glowny_panorama_2.jpg/1920px-Krakow_Rynek_Glowny_panorama_2.jpg"
"Jakarta, Indonesia",jakarta|indonesia,wikidata-commons,0,200,1000,750,hit,"","https://upload.wikimedia.org/wikipedia/commons/9/98/Jakarta.jpg"
"Firenze",firenze,wikidata-commons,0,429,16929,5102,hit,"","https://upload.wikimedia.org/wikipedia/commons/c/c6/Panoramica_Firenze.jpg"
"Eivissa",eivissa,wikidata-commons,0,429,3575,2373,hit,"","https://upload.wikimedia.org/wikipedia/commons/e/e4/Ibiza_rock_volcano_%28747230830%29.jpg"
"Edinburgh",edinburgh,wikidata-commons,0,429,2500,1660,hit,"","https://upload.wikimedia.org/wikipedia/commons/8/88/00_3331_Edinburgh_-_Schottland.jpg"
"Colmar",colmar,wikidata-commons,0,429,5463,3915,hit,"bonus:paysage","https://upload.wikimedia.org/wikipedia/commons/8/85/View_of_%C3%89glise_Saint-Martin_%2843833049001%29.jpg"
"Chicago, United states",chicago|united states,wikidata-commons,0,429,3000,2000,hit,"bonus:paysage","https://upload.wikimedia.org/wikipedia/commons/0/0f/2010-02-19_3000x2000_chicago_skyline.jpg"
"Cannes",cannes,wikidata-commons,0,429,5709,3746,hit,"","https://upload.wikimedia.org/wikipedia/commons/7/76/Hamnen_Cannes_Mipim_20140312_%2813120667594%29.jpg"
"Budapest",budapest,wikidata-commons,0,429,5223,3481,hit,"","https://upload.wikimedia.org/wikipedia/commons/9/9d/Budapest%2C_Hungary_%28explored%29_%2814995308504%29.jpg"
"Beijing, China",beijing|china,wikidata-commons,0,429,6787,4525,hit,"bonus:paysage","https://upload.wikimedia.org/wikipedia/commons/0/06/Skyline_of_Beijing_CBD_with_B-5906_approaching_%2820211016171955%29.jpg"
"Bangkok, Thailand",bangkok|thailand,wikidata-commons,0,429,1800,1200,hit,"","https://upload.wikimedia.org/wikipedia/commons/2/20/Temple_of_the_Emerald_of_buddha_or_Wat_Phra_Kaew_%28cropped%29.jpg"
"Bale",bale,wikidata-commons,0,429,3008,2000,hit,"","https://upload.wikimedia.org/wikipedia/commons/c/cb/Rhine_Rhein_Basel_2006_871.JPG"
"Athens",athens,wikidata-commons,0,429,3072,2304,hit,"","https://upload.wikimedia.org/wikipedia/commons/0/0a/Athens_City_Hall_from_NE_corner.JPG"
"Frejus, Region paca, france",frejus|region paca, france,wikidata-commons,0,429,1024,768,hit,"","https://upload.wikimedia.org/wikipedia/commons/8/86/MairieFr%C3%A9jus.JPG"
"Tenerife",tenerife,commons-category,0,429,2131,1444,hit,"","https://upload.wikimedia.org/wikipedia/commons/e/ec/170214_Blick_auf_Teneriffa_mit_dem_Teide_vom_Las_Canteras.jpg"
"Tenerife, Canary islands, spain",tenerife|canary islands, spain,wikipedia,0,429,1280,,hit,"","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Las_Teresitas_%28Tenerife%29_05.jpg/1280px-Las_Teresitas_%28Tenerife%29_05.jpg"
